"District","Year","Aus","Aman","Boro","Jut","Potato","Wheat","Temperature","Rainfall","sylhet ","Year","Aus","Aman","Boro","Jut","Potato","Wheat","Temperature","Rainfall"
"","2009","0.722","0.85","1.345","3.16","2.814","0.667","25.85","138","","2009","0.345","0.752","1.505","3.48","8.323","0.739","26.7","151"
"","2010","0.581","0.728","1.425","3.368","3.632","0.446","25.85","174","","2010","0.626","0.746","1.402","4.26","8.571","0.697","26.82","138"
"","2011","0.747","0.87","1.452","3.28","3.81","0.962","25.08","178","","2011","0.711","0.821","1.524","3.37","7.997","0.599","26.1","159"
"","2012","0.812","0.851","1.496","3.63","3.557","0.724","25.29","123","","2012","0.705","0.837","1.596","4.13","7.804","0.742","26.27","134"
"","2013","0.776","0.875","1.446","3.23","3.39","0.766","25.52","144","","2013","0.659","0.733","1.608","4.381","7.875","0.693","26.02","193"
"","2014","0.84","0.888","1.664","3.79","4.564","1.025","25.6","161.17","","2014","0.559","0.816","1.512","3.49","8.247","0.77","26.25","121.17"
"","2015","0.958","0.997","1.646","3.325","3.886","0.914","","","","2015","0.59","0.786","1.501","3.68","8.207","0.893","",""
"","2016","","","","","","","","","","2016","","","","","","","",""
"","2017","","","","","","","","","","2017","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"District","Year","Aus","Aman","Boro","Jut","Potato","Wheat","Temperature","Rainfall","District","Year","Aus","Aman","Boro","Jut","Potato","Wheat","Temperature","Rainfall"
"Jessore","2004","0.691","1.116","1.452","5.83","8.891","0.944","26.325","203.67","Khulna","2004","0.718","0.827","1.209","4.92","5.884","0.877","26.575","166.25"
"","2005","0.806","0.953","1.511","5.83","8.891","0.679","26.77","139","","2005","0.709","0.818","1.239","4.92","5.884","0.773","26.92","165"
"","2006","0.814","0.993","1.47","5.41","8.156","0.81","26.85","147","","2006","0.76","0.833","1.319","4.58","5.579","0.636","27","171"
"","2007","1.043","1.007","1.745","5.6","7.88","0.924","26.32","176","","2007","0.517","0.801","1.331","4.42","4.256","0.647","26.42","175"
"","2008","0.93","1.044","1.564","5.35","7.859","0.959","26.32","157","","2008","0.589","0.72","1.56","4.71","4.649","0.728","26.6","133"
"","2009","0.936","0.992","1.597","5.84","6.253","1.096","26.86","131","","2009","0.611","0.802","1.419","4.44","3.107","0.859","27.18","150"
"","2010","0.886","0.919","1.622","5.76","10.088","0.843","27.03","117","","2010","0.573","0.991","1.491","4.3","4.848","0.818","27.29","113"
"","2011","0.958","0.962","1.623","5.48","8.224","1.164","26.14","113","","2011","0.613","0.879","1.514","4.53","5.11","1.079","26.49","162"
"","2012","0.996","1.051","1.686","4.2","7.936","1.013","2652","108","","2012","0.589","0.879","1.443","3.5","4.993","0.922","26.93","137"
"","2013","0.746","0.969","1.69","4.381","9.004","1.141","26.27","139","","2013","0.917","0.914","1.495","3.4","5.398","0.804","26.65","172"
"","2014","0.786","0.929","1.667","5.12","9.139","1.22","25.9","109.83","","2014","0.897","0.935","1.625","4.27","5.217","0.858","26.75","121.75"
"","2015","1.138","1.05","1.69","5.22","9.3","1.249","","","","2015","0.539","1.032","1.451","4.49","5.245","1.044","",""
"","2016","","","","","","","","","","2016","","","","","","","",""
"","2017","","","","","","","","","","2017","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"District","Year","Aus","Aman","Boro","Jut","Potato","Wheat","Temperature","Rainfall","District","Year","Aus","Aman","Boro","Jut","Potato","Wheat","Temperature","Rainfall"
"Patuakhali","2004","0.624","0.611","0.594","1.38","2.628","0","27.09","220.58","Bagura","2004","0.674","0.88","1.34","4.58","5.327","0.855","25.7","179.75"
"","2005","0.624","0.631","0.705","1.38","2.628","0","26.68","225","","2005","0.692","0.836","1.364","4.58","5.327","0.758","26.01","174"
"","2006","0.702","0.645","0.553","0","0","0","26.87","190","","2006","0.747","0.847","1.356","4.48","5.131","0.686","26.29","92"
"","2007","0.559","0.616","0.584","0","7.551","0","26.26","238","","2007","0.759","0.883","1.461","4.71","5.217","0.698","25.87","159"
"","2008","0.535","0.411","0.658","4.6","9.875","0.4","26.37","201","","2008","0.845","0.889","1.619","4.46","5.699","0.815","25.89","149"
"","2009","0.636","0.547","0.651","0","5.862","0.84","26.92","192","","2009","0.836","0.871","1.677","4.47","3.817","0.855","26.24","117"
"","2010","0.63","0.673","0.941","0","7.562","0.667","27.12","172","","2010","0.682","0.829","1.613","4.52","6.452","0.808","26.5","105"
"","2011","0.709","0.69","1.048","0","7.419","0.462","26.39","201","","2011","0.793","0.875","1.51","4.42","6.699","0.914","25.8","143"
"","2012","0.798","0.668","0.995","0","8.829","0","26.63","157","","2012","0.841","0.945","1.512","4.32","7.491","0.946","26","95"
"","2013","0.958","0.711","0.998","4.91","7.531","0","26.4","221","","2013","0.889","0.996","1.606","5.27","7.099","0.982","26.13","101"
"","2014","1.089","1.125","0.954","0","6.086","0.413","26.7","169","","2014","0.979","1.029","1.638","4.87","7.012","0.994","26","142.3"
"","2015","0.797","0.712","0.843","0","6.241","0.413","","","","2015","0.929","1.072","1.515","4.7","6.993","0.986","",""
"","2016","","","","","","","","","","2016","","","","","","","",""
"","2017","","","","","","","","","","2017","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"District","Year","Aus","Aman","Boro","Jut","Potato","Wheat","Temperature","Rainfall","District","Year","Aus","Aman","Boro","Jut","Potato","Wheat","Temperature","Rainfall"
"Dinajpur","2004","0.877","0.752","1.269","4.43","5.129","0.719","24.78","191","Rajshahi","2004","0.673","0.851","1.363","5.12","5.613","0.997","25.96","148.83"
"","2005","0.78","0.728","1.37","4.43","5.129","0.657","25.125","247","","2005","0.74","0.874","1.437","5.12","5.613","0.799","26.17","117"
"","2006","0.851","0.817","1.425","4.07","5.404","0.623","25.4","107","","2006","0.819","0.93","1.471","5.84","4.905","0.73","26.325","95"
"","2007","0.745","0.826","1.519","4.17","5.656","0.665","25.22","136","","2007","0.873","0.874","1.621","5.79","5.864","0.769","25.86","168"
"","2008","0.7","0.955","1.607","3.8","7.423","0.867","25.12","147","","2008","0.799","1.039","1.763","5.05","6.714","0.9","25.84","109"
"","2009","0.978","0.996","1.542","4.11","4.486","0.806","25.47","169","","2009","0.934","1.047","1.668","5.4","5.957","0.915","26.3","86"
"","2010","0.817","0.957","1.528","4.34","6.8","0.966","25.55","136","","2010","0.834","1.035","1.55","5.46","7.916","1.082","26.53","66"
"","2011","0.804","1.055","1.534","4.48","6.342","1.057","24.98","137","","2011","0.872","1.108","1.622","5.4","8.181","0.999","26.25","122"
"","2012","1.095","0.993","1.537","4.39","7.363","1.109","25.07","125","","2012","0.987","1.029","1.648","5.85","9.157","1.278","26.1","97"
"","2013","0.568","1.04","1.637","5.01","6.831","1.265","25.17","152","","2013","0.875","1.151","1.64","4.08","9.072","1.317","26.06","104"
"","2014","0.654","0.854","1.665","4.83","7.131","1.261","25.2","116.5","","2014","0.882","1.009","1.584","5.49","8.473","1.269","26.05","99"
"","2015","0.929","1.129","1.655","4.55","7.701","1.287","","","","2015","1.16","1.147","1.643","5.04","8.511","1.321","",""
"","2016","","","","","","","","","","2016","","","","","","","",""
"","2017","","","","","","","","","","2017","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"District","Year","Aus","Aman","Boro","Jut","Potato","Wheat","Temperature","Rainfall","","","","","","","","","",""
"Rangpur","2004","0.589","0.866","1.317","3.99","7.215","0.899","24.83","223.33","","","","","","","","","",""
"","2005","0.477","0.775","1.349","3.99","7.215","0.743","24.99","237","","","","","","","","","",""
"","2006","0.518","0.83","1.399","4.78","5.205","0.612","25.37","140","","","","","","","","","",""
"","2007","0","0.945","1.501","4.77","5.691","0.719","25.05","169","","","","","","","","","",""
"","2008","0","0.796","1.578","4.78","6.268","0.894","24.95","158","","","","","","","","","",""
"","2009","0","0.922","1.589","5.03","5.739","0.872","25.4","184","","","","","","","","","",""
"","2010","0","0.967","1.637","4.69","7.535","0.887","25.87","158","","","","","","","","","",""
"","2011","0","1.071","1.519","5.04","7.81","0.904","24.93","161","","","","","","","","","",""
"","2012","0.803","1.081","1.522","5.12","8.404","0.919","24.87","157","","","","","","","","","",""
"","2013","0.89","1.06","1.646","4.78","8.881","1.016","25.13","159","","","","","","","","","",""
"","2014","0","1.109","1.757","5.29","8.354","1.141","25.2","132.58","","","","","","","","","",""
"","2015","0.922","1.119","1.785","5.09","8.279","1.173","","","","","","","","","","","",""
"","2016","","","","","","","","","","","","","","","","","",""
"","2017","","","","","","","","","","","","","","","","","",""
